city,bedrooms,city_center_dist_km,daily_price,weekends
London,1,4.181,275.88,0
London,1,4.432,334.44,1
London,1,5.637,489.66,0
London,2,3.838,651.71,1
London,1,4.716,219.9,0
London,2,4.112,951.1,1
London,2,5.983,463.79,0
London,1,5.795,333.73,1
London,1,6.13,269.06,1
London,3,4.741,1060.23,1
London,1,15.814,278.23,0
Amsterdam,1,2.748,423.92,1
London,1,4.964,248.59,1
London,2,14.163,698.98,0
London,1,7.49,515.3,1
London,1,4.028,521.88,0
London,2,3.625,551.52,0
London,1,3.189,528.47,1
Amsterdam,3,1.267,847.84,0
Barcelona,1,2.438,486.19,0
London,1,3.33,379.6,1
London,2,5.387,623.72,0
London,2,10.864,323.15,1
London,2,15.565,348.08,0
Amsterdam,2,2.793,700.44,1
Amsterdam,1,3.914,128.89,0
Amsterdam,2,7.495,474.07,1
London,1,4.339,360.78,0
London,2,4.059,441.92,1
London,0,3.222,389.24,0
London,1,5.904,343.38,0
London,1,4.3,284.58,1
London,1,3.048,762.48,1
Amsterdam,1,3.719,399.32,1
Amsterdam,1,0.908,551.64,1
London,1,5.955,346.67,1
Amsterdam,2,2.148,749.65,1
Barcelona,2,1.831,439.64,0
London,1,7.948,408.52,1
London,1,10.561,194.03,1
London,2,1.218,905.24,1
London,2,7.329,550.11,0
London,0,4.548,288.34,0
London,1,9.358,374.89,1
London,1,6.25,499.78,0
London,1,4.453,359.37,1
London,1,5.918,351.37,0
London,2,3.456,492.72,1
London,1,4.938,448.51,1
London,0,2.482,335.14,0
London,1,5.013,338.91,1
London,1,0.356,556.22,1
London,1,8.095,240.83,1
London,2,3.435,693.1,0
London,1,1.498,566.81,0
Amsterdam,2,3.125,909.47,1
London,2,7.57,693.34,1
London,2,6.298,339.85,0
London,1,3.122,529.65,0
London,2,5.238,605.85,1
London,1,3.078,431.1,0
London,2,2.988,722.03,0
Barcelona,2,0.911,647.94,1
Amsterdam,1,2.123,767.93,0
London,1,4.389,530.35,1
London,2,9.439,340.32,0
London,2,4.13,459.09,1
Barcelona,0,1.859,422.42,0
London,0,4.867,211.67,0
London,2,3.051,490.37,0
Amsterdam,1,1.888,497.5,0
London,1,4.569,423.1,1
Barcelona,1,0.876,705.89,1
London,1,3.487,359.6,0
London,1,10.609,281.05,1
London,2,4.582,631.72,0
London,2,3.886,615.96,0
London,2,6.375,349.02,1
London,2,4.863,439.57,0
Amsterdam,1,1.41,479.23,1
Barcelona,2,2.834,374.94,0
Amsterdam,0,0.1,356.43,0
London,1,7.526,431.81,1
London,1,0.832,628.66,1
London,2,7.821,455.33,0
London,3,4.117,789.29,0
London,3,6.33,747.43,0
London,2,4.536,531.06,1
London,2,9.932,257.3,0
London,1,0.913,841.04,1
London,1,9.303,566.34,0
London,1,2.009,492.72,0
London,2,4.156,967.1,0
Amsterdam,2,4.733,458.37,0
London,0,0.648,479.55,1
London,2,2.492,556.22,1
London,1,1.621,592.91,1
London,3,8.655,388.06,0
Amsterdam,1,2.428,397.21,0
London,2,3.545,512.95,0
London,0,4.185,353.96,0
Barcelona,2,1.988,712.87,0
London,0,7.429,285.52,0
London,2,3.343,777.06,0
London,1,4.725,481.9,0
